file,species
00967.jpg,Give Way
00968.jpg,Maximum Speed 30
00969.jpg,Compulsory Keep Right
00970.jpg,Give Way
00971.jpg,Give Way
00972.jpg,Give Way
00973.jpg,Give Way
00974.jpg,Maximum Speed 50
00975.jpg,Maximum Speed 50
00976.jpg,Give Way
00977.jpg,Pedestrian crossing
00978.jpg,Maximum Speed 50
00979.jpg,Maximum Speed 50
00980.jpg,Give Way
00981.jpg,Maximum Speed 30
00982.jpg,Maximum Speed 30
00983.jpg,Slow
00984.jpg,Maximum Speed 50
00985.jpg,Maximum Speed 50
00986.jpg,Maximum Speed 50
00987.jpg,Maximum Speed 30
00988.jpg,Maximum Speed 50
00989.jpg,Maximum Speed 50
00990.jpg,Maximum Speed 50
00991.jpg,Maximum Speed 30
00992.jpg,Maximum Speed 30
00993.jpg,Maximum Speed 50
00994.jpg,Maximum Speed 30
00995.jpg,Give Way
00996.jpg,Give Way
00997.jpg,Maximum Speed 30
00998.jpg,Give Way
00999.jpg,Right Margin
01000.jpg,Maximum Speed 50
01001.jpg,Maximum Speed 50
01002.jpg,Maximum Speed 50
01003.jpg,Maximum Speed 30
01004.jpg,Maximum Speed 50
01005.jpg,Maximum Speed 50
01006.jpg,Give Way
01007.jpg,Right Margin
01008.jpg,Maximum Speed 30
01009.jpg,Maximum Speed 30
01010.jpg,Give Way
01011.jpg,Give Way
01012.jpg,Give Way
01013.jpg,Compulsory Keep Right
01014.jpg,Give Way
01015.jpg,Compulsory Keep Right
01016.jpg,Compulsory Keep Right
01017.jpg,Compulsory Keep Right
01018.jpg,Compulsory Keep Right
01019.jpg,Maximum Speed 30
01020.jpg,Compulsory Keep Right
01021.jpg,Compulsory Keep Right
01022.jpg,Compulsory Keep Right
01023.jpg,Compulsory Keep Right
01024.jpg,Maximum Speed 30
01025.jpg,Compulsory Keep Right
01026.jpg,Maximum Speed 30
01027.jpg,Maximum Speed 50
01028.jpg,Maximum Speed 30
01029.jpg,Maximum Speed 50
01030.jpg,Maximum Speed 30
01031.jpg,Maximum Speed 30
01032.jpg,Give Way
01033.jpg,Give Way
01034.jpg,Give Way
01035.jpg,Maximum Speed 50
01036.jpg,Maximum Speed 50
01037.jpg,Maximum Speed 30
01038.jpg,Give Way
01039.jpg,Give Way
01040.jpg,Maximum Speed 50
01041.jpg,Maximum Speed 50
01042.jpg,Maximum Speed 30
01043.jpg,Give Way
01044.jpg,Maximum Speed 30
01045.jpg,Give Way
01046.jpg,Maximum Speed 50
01047.jpg,Maximum Speed 50
01048.jpg,Maximum Speed 50
01049.jpg,Maximum Speed 50
01050.jpg,Maximum Speed 50
01051.jpg,Give Way
01052.jpg,Maximum Speed 50
01053.jpg,Maximum Speed 50
01054.jpg,Give Way
01055.jpg,Maximum Speed 50
01056.jpg,Maximum Speed 50
01057.jpg,Maximum Speed 50
01058.jpg,Give Way
01059.jpg,Compulsory Keep Right
01060.jpg,Compulsory Keep Right
01061.jpg,Compulsory Keep Right
01062.jpg,Compulsory Keep Right
01063.jpg,Compulsory Keep Right
01064.jpg,Compulsory Keep Right
01065.jpg,Compulsory Keep Right
01066.jpg,Compulsory Keep Right
01067.jpg,Maximum Speed 30
01068.jpg,Compulsory Keep Right
01069.jpg,Compulsory Keep Right
01070.jpg,Compulsory Keep Right
01071.jpg,Maximum Speed 30
01072.jpg,Compulsory Keep Right
01073.jpg,Compulsory Keep Right
01074.jpg,Maximum Speed 30
01075.jpg,Compulsory Keep Right
01076.jpg,Give Way
01077.jpg,Compulsory Keep Right
01078.jpg,Maximum Speed 30
01079.jpg,Pedestrian crossing
01080.jpg,Compulsory Keep Right
01081.jpg,Give Way
01082.jpg,Compulsory Keep Right
01083.jpg,Give Way
01084.jpg,Compulsory Keep Right
01085.jpg,Maximum Speed 30
01086.jpg,Compulsory Keep Right
01087.jpg,Give Way
01088.jpg,Compulsory Keep Right
01089.jpg,Give Way
01090.jpg,Maximum Speed 30
01091.jpg,Compulsory Keep Right
01092.jpg,Compulsory Keep Right
01093.jpg,Compulsory Keep Right
01094.jpg,Compulsory Keep Right
01095.jpg,Compulsory Keep Right
01096.jpg,Maximum Speed 30
01097.jpg,Compulsory Keep Right
01098.jpg,Pedestrian crossing
01099.jpg,Give Way
01100.jpg,Give Way
01101.jpg,Give Way
01102.jpg,Give Way
01103.jpg,Give Way
01104.jpg,Give Way
01105.jpg,Maximum Speed 70
01106.jpg,Pedestrian crossing
01107.jpg,U-Turn Allowed
01108.jpg,Maximum Speed 50
01109.jpg,U-Turn Allowed
01110.jpg,U-Turn Allowed
01111.jpg,U-Turn Allowed
01112.jpg,Left Margin
01113.jpg,STOP
01114.jpg,Right Margin
01115.jpg,Compulsory Keep BothSide
01116.jpg,Left Margin
01117.jpg,No Horn
01118.jpg,NO Stopping
01119.jpg,Right Margin
01120.jpg,Left Margin
01121.jpg,Right Margin
01122.jpg,Slow
01123.jpg,STOP
01124.jpg,Slow
01125.jpg,Right Margin
01126.jpg,Right Margin
01127.jpg,Right Margin
01128.jpg,Right Margin
01129.jpg,Maximum Speed 50
01130.jpg,Left Turn Prohibited
01131.jpg,Right Margin
01132.jpg,Right Margin
01133.jpg,Right Margin
01134.jpg,Right Margin
01135.jpg,Right Margin
01136.jpg,Compulsory Keep BothSide
01137.jpg,Right Margin
01138.jpg,Left Turn Prohibited
01139.jpg,Right Margin
01140.jpg,Left Margin
01141.jpg,NO Stopping
01142.jpg,Right Margin
01143.jpg,Left Margin
01144.jpg,Right Margin
01145.jpg,Right Margin
01146.jpg,Right Margin
01147.jpg,Maximum Speed 50
01148.jpg,Left Margin
01149.jpg,Left Margin
01150.jpg,Left Margin
01151.jpg,Left Margin
01152.jpg,Left Margin
01153.jpg,Left Margin
01154.jpg,Left Margin
01155.jpg,Right Margin
01156.jpg,Compulsory Keep BothSide
01157.jpg,Left Turn Prohibited
01158.jpg,Compulsory Keep BothSide
01159.jpg,Pedestrain
01160.jpg,Right Margin
01161.jpg,Right Margin
01162.jpg,Right Margin
01163.jpg,Right Margin
01164.jpg,Right Margin
01165.jpg,Right Margin
01166.jpg,Right Margin
01167.jpg,Slow
01168.jpg,Right Margin
01169.jpg,Pedestrain
01170.jpg,Right Margin
01171.jpg,Right Margin
01172.jpg,NO Stopping
01173.jpg,NO Stopping
01174.jpg,Maximum Speed 60
01175.jpg,Pedestrian crossing
01176.jpg,Pedestrian crossing
01177.jpg,Pedestrian crossing
01178.jpg,Pedestrian crossing
01179.jpg,Pedestrian crossing
01180.jpg,NO Waiting
01181.jpg,Pedestrian crossing
01182.jpg,Pedestrian crossing
01183.jpg,Pedestrian crossing
01184.jpg,Pedestrain
01185.jpg,Pedestrain
01186.jpg,Pedestrian crossing
01187.jpg,Pedestrian crossing
01188.jpg,Pedestrain
01189.jpg,Pedestrain
01190.jpg,Pedestrain
01191.jpg,Left Turn Prohibited
01192.jpg,Left Turn Prohibited
01193.jpg,Pedestrian crossing
01194.jpg,Pedestrian crossing
01195.jpg,Pedestrian crossing
01196.jpg,Pedestrian crossing
01197.jpg,Right Margin
01198.jpg,Right Margin
01199.jpg,Right Margin
01200.jpg,Right Margin
01201.jpg,Right Margin
01202.jpg,Left Turn Prohibited
01203.jpg,Left Margin
01204.jpg,Right Margin
01205.jpg,Right Margin
01206.jpg,Right Margin
01207.jpg,Hump
01208.jpg,Right Margin
01209.jpg,Side Road Right
01210.jpg,Right Margin
01211.jpg,Left Margin
01212.jpg,Right Margin
01213.jpg,Right Margin
01214.jpg,Right Margin
01215.jpg,Right Margin
01216.jpg,NO Stopping
01217.jpg,School
01218.jpg,Compulsory Keep BothSide
01219.jpg,Compulsory Keep BothSide
01220.jpg,School
01221.jpg,School
01222.jpg,Pedestrain
01223.jpg,Compulsory Keep BothSide
01224.jpg,U-Turn Allowed
01225.jpg,U-Turn Allowed
01226.jpg,Hump
01227.jpg,Hump
01228.jpg,Hump
01229.jpg,Hump
01230.jpg,Compulsory Keep BothSide
01231.jpg,Compulsory Keep BothSide
01232.jpg,Side Road Right
01233.jpg,Side Road Right
01234.jpg,Left Bend
01235.jpg,Left Margin
01236.jpg,Left Margin
01237.jpg,NO Waiting
01238.jpg,One way Traffic
01239.jpg,Hump
01240.jpg,Hump
01241.jpg,Hump
01242.jpg,Hump
01243.jpg,Pedestrain
01244.jpg,Pedestrain
01245.jpg,Pedestrain
01246.jpg,Pedestrain
01247.jpg,Left Margin
01248.jpg,Left Margin
01249.jpg,Park
01250.jpg,Left Margin
01251.jpg,Left Margin
01252.jpg,Maximum Speed 50
01253.jpg,Compulsory Keep BothSide
01254.jpg,Slow
01255.jpg,Slow
01256.jpg,Maximum Speed 90
01257.jpg,Side Road Right
01258.jpg,Maximum Speed 90
01259.jpg,Maximum Speed 90
01260.jpg,Maximum Speed 90
01261.jpg,Left Turn Prohibited
01262.jpg,Left Turn Prohibited
01263.jpg,Left Turn Prohibited
01264.jpg,Left Turn Prohibited
01265.jpg,Left Turn Prohibited
01266.jpg,Right Margin
01267.jpg,Right Margin
01268.jpg,Hump
01269.jpg,U-Turn
01270.jpg,U-Turn
01271.jpg,U-turn Prohibited
01272.jpg,U-turn Prohibited
01273.jpg,One way Traffic
01274.jpg,One way Traffic
01275.jpg,Pedestrain
01276.jpg,U-turn Prohibited
01277.jpg,U-turn Prohibited
01278.jpg,NO Stopping
01279.jpg,NO Stopping
01280.jpg,NO Stopping
01281.jpg,Pedestrain
01282.jpg,Pedestrain
01283.jpg,Pedestrain
01284.jpg,NO Stopping
01285.jpg,Pedestrain
01286.jpg,NO Stopping
01287.jpg,Pedestrain
01288.jpg,U-turn Prohibited
01289.jpg,One way Traffic
01290.jpg,U-turn Prohibited
01291.jpg,U-turn Prohibited
01292.jpg,U-turn Prohibited
01293.jpg,Compulsory Keep BothSide
01294.jpg,NO Stopping
01295.jpg,NO Stopping
01296.jpg,Slow
01297.jpg,Slow
01298.jpg,Slow
01299.jpg,Pedestrain
01300.jpg,Pedestrain
01301.jpg,Pedestrain
01302.jpg,Pedestrain
01303.jpg,Pedestrain
01304.jpg,Pedestrain
01305.jpg,Pedestrain
01306.jpg,Pedestrain
01307.jpg,Pedestrain
01308.jpg,Compulsory Keep BothSide
01309.jpg,NO Stopping
01310.jpg,NO Stopping
01311.jpg,NO Waiting
01312.jpg,NO Waiting
01313.jpg,NO Stopping
01314.jpg,Pedestrain
01315.jpg,STOP
01316.jpg,STOP
01317.jpg,STOP
01318.jpg,STOP
01319.jpg,STOP
01320.jpg,STOP
01321.jpg,STOP
01322.jpg,STOP
01323.jpg,School
01324.jpg,School
01325.jpg,School
01326.jpg,School
01327.jpg,NO Waiting
01328.jpg,NO Waiting
01329.jpg,Park
01330.jpg,NO Waiting
01331.jpg,NO Waiting
01332.jpg,NO Waiting
01333.jpg,NO Waiting
01334.jpg,NO Stopping
01335.jpg,NO Stopping
01336.jpg,NO Stopping
01337.jpg,Hump
01338.jpg,Hump
01339.jpg,Hump
01340.jpg,Hump
01341.jpg,Right Margin
01342.jpg,Right Margin
01343.jpg,Right Margin
01344.jpg,Right Margin
01345.jpg,Right Margin
01346.jpg,Right Margin
01347.jpg,Left Margin
01348.jpg,Right Margin
01349.jpg,Left Margin
01350.jpg,Right Margin
01351.jpg,Right Margin
01352.jpg,Left Margin
01353.jpg,Right Margin
01354.jpg,Right Margin
01355.jpg,Right Margin
01356.jpg,Right Margin
01357.jpg,Hump
01358.jpg,School
01359.jpg,School
01360.jpg,School
01361.jpg,School
01362.jpg,School
01363.jpg,School
01364.jpg,School
01365.jpg,School
01366.jpg,Pedestrain
01367.jpg,Maximum Speed 50
01368.jpg,Maximum Speed 50
01369.jpg,Maximum Speed 50
01370.jpg,Pedestrain
01371.jpg,Pedestrain
01372.jpg,Pedestrain
01373.jpg,Pedestrain
01374.jpg,Pedestrain
01375.jpg,Pedestrain
01376.jpg,U-Turn Allowed
01377.jpg,U-Turn Allowed
01378.jpg,One way Traffic
01379.jpg,One way Traffic
01380.jpg,One way Traffic
01381.jpg,One way Traffic
01382.jpg,NO Stopping
01383.jpg,NO Stopping
01384.jpg,Cycle crossing
01385.jpg,MotorCycle Prohibited
01386.jpg,Cycle crossing
01387.jpg,MotorCycle Prohibited
01388.jpg,Left Margin
01389.jpg,Danger
01390.jpg,Danger
01391.jpg,Danger
01392.jpg,Maximum Speed 40
01393.jpg,Left Margin
01394.jpg,Left Margin
01395.jpg,Slow
01396.jpg,Slow
01397.jpg,Slow
01398.jpg,Slow
01399.jpg,Slow
01400.jpg,Slow
01401.jpg,U-Turn
01402.jpg,U-Turn
01403.jpg,U-Turn
01404.jpg,NO Stopping
01405.jpg,U-Turn Allowed
01406.jpg,U-Turn Allowed
01407.jpg,NO Stopping
01408.jpg,Left Margin
01409.jpg,Slow
01410.jpg,Slow
01411.jpg,Slow
01412.jpg,Slow
01413.jpg,Slow
01414.jpg,Slow
01415.jpg,Maximum Speed 40
01416.jpg,Right Margin
01417.jpg,Right Margin
01418.jpg,Right Margin
01419.jpg,Right Margin
01420.jpg,Danger
01421.jpg,Danger
01422.jpg,Danger
01423.jpg,Danger
01424.jpg,Maximum Speed 60
01425.jpg,Maximum Speed 60
01426.jpg,Maximum Speed 60
01427.jpg,Maximum Speed 60
01428.jpg,Maximum Speed 60
01429.jpg,Maximum Speed 60
01430.jpg,Maximum Speed 60
01431.jpg,Maximum Speed 60
01432.jpg,Maximum Speed 60
01433.jpg,Maximum Speed 60
01434.jpg,Maximum Speed 60
01435.jpg,Maximum Speed 60
01436.jpg,Maximum Speed 60
01437.jpg,Maximum Speed 60
01438.jpg,Maximum Speed 60
01439.jpg,NO Stopping
01440.jpg,NO Stopping
01441.jpg,Maximum Speed 40
01442.jpg,Maximum Speed 40
01443.jpg,Right Margin
01444.jpg,Right Margin
01445.jpg,Right Margin
01446.jpg,Right Margin
01447.jpg,NO Stopping
01448.jpg,NO Stopping
01449.jpg,NO Stopping
01450.jpg,One way Traffic
01451.jpg,One way Traffic
01452.jpg,One way Traffic
01453.jpg,One way Traffic
01454.jpg,One way Traffic
01455.jpg,One way Traffic
01456.jpg,One way Traffic
01457.jpg,One way Traffic
01458.jpg,One way Traffic
01459.jpg,One way Traffic
01460.jpg,One way Traffic
01461.jpg,One way Traffic
01462.jpg,One way Traffic
01463.jpg,One way Traffic
01464.jpg,NO Stopping
01465.jpg,NO Stopping
01466.jpg,Left Turn Prohibited
01467.jpg,Left Turn Prohibited
01468.jpg,Left Turn Prohibited
01469.jpg,Left Turn Prohibited
01470.jpg,Left Turn Prohibited
01471.jpg,Right Margin
01472.jpg,Right Margin
01473.jpg,Right Margin
01474.jpg,MotorCycle Prohibited
01475.jpg,MotorCycle Prohibited
01476.jpg,MotorCycle Prohibited
01477.jpg,Cycle crossing
01478.jpg,Cycle crossing
01479.jpg,NO Stopping
01480.jpg,NO Stopping
01481.jpg,NO Stopping
01482.jpg,NO Stopping
01483.jpg,Pedestrian crossing
01484.jpg,U-Turn Allowed
01485.jpg,U-Turn Allowed
01486.jpg,U-Turn Allowed
01487.jpg,U-Turn Allowed
01488.jpg,U-Turn Allowed
01489.jpg,U-Turn Allowed
01490.jpg,U-Turn Allowed
01491.jpg,NO Stopping
01492.jpg,NO Stopping
01493.jpg,NO Stopping
01494.jpg,NO Stopping
01495.jpg,Right Turn Prohibited
01496.jpg,Right Turn Prohibited
01497.jpg,Right Turn Prohibited
01498.jpg,Right Turn Prohibited
01499.jpg,Right Turn Prohibited
01500.jpg,Right Turn Prohibited
01501.jpg,Right Turn Prohibited
01502.jpg,NO Stopping
01503.jpg,NO Stopping
01504.jpg,NO Stopping
01505.jpg,U-Turn Allowed
01506.jpg,U-Turn Allowed
01507.jpg,U-Turn Allowed
01508.jpg,U-Turn Allowed
01509.jpg,U-Turn Allowed
01510.jpg,NO Stopping
01511.jpg,NO Stopping
01512.jpg,NO Stopping
01513.jpg,NO Stopping
01514.jpg,Pedestrain
01515.jpg,One way Traffic
01516.jpg,NO Stopping
01517.jpg,NO Stopping
01518.jpg,One way Traffic
01519.jpg,One way Traffic
01520.jpg,One way Traffic
01521.jpg,One way Traffic
01522.jpg,NO Stopping
01523.jpg,Cycle crossing
01524.jpg,Cycle crossing
01525.jpg,NO Stopping
01526.jpg,NO Stopping
01527.jpg,NO Stopping
01528.jpg,Cycle crossing
01529.jpg,Cycle crossing
01530.jpg,Cycle crossing
01531.jpg,One way Traffic
01532.jpg,One way Traffic
01533.jpg,NO Stopping
01534.jpg,NO Stopping
01535.jpg,Maximum Speed 60
01536.jpg,Maximum Speed 60
01537.jpg,Maximum Speed 60
01538.jpg,U-Turn Allowed
01539.jpg,U-Turn Allowed
01540.jpg,U-Turn Allowed
01541.jpg,Right Turn Prohibited
01542.jpg,Right Turn Prohibited
01543.jpg,Park Forbidden
01544.jpg,Park Forbidden
01545.jpg,Park Forbidden
01546.jpg,Park Forbidden
01547.jpg,Park Forbidden
01548.jpg,Park Forbidden
01549.jpg,Park Forbidden
01550.jpg,Danger
01551.jpg,Danger
01552.jpg,Danger
01553.jpg,NO Stopping
01554.jpg,NO Stopping
01555.jpg,Cycle crossing
01556.jpg,Cycle crossing
01557.jpg,Cycle crossing
01558.jpg,Cycle crossing
01559.jpg,Cycle crossing
01560.jpg,Left Turn Prohibited
01561.jpg,Left Turn Prohibited
01562.jpg,Left Turn Prohibited
01563.jpg,Left Turn Prohibited
01564.jpg,NO Stopping
01565.jpg,NO Stopping
01566.jpg,One way Traffic
01567.jpg,One way Traffic
01568.jpg,One way Traffic
01569.jpg,NO Stopping
01570.jpg,NO Stopping
01571.jpg,NO Stopping
01572.jpg,NO Stopping
01573.jpg,NO Stopping
01574.jpg,NO Stopping
01575.jpg,One way Traffic
01576.jpg,One way Traffic
01577.jpg,NO Stopping
01578.jpg,NO Stopping
01579.jpg,NO Stopping
01580.jpg,Two Way Traffic
01581.jpg,Two Way Traffic
01582.jpg,Two Way Traffic
01583.jpg,Two Way Traffic
01584.jpg,Two Way Traffic
01585.jpg,Two Way Traffic
01586.jpg,Two Way Traffic
01587.jpg,Two Way Traffic
01588.jpg,One way Traffic
01589.jpg,One way Traffic
01590.jpg,NO Stopping
01591.jpg,NO Stopping
01592.jpg,NO Stopping
01593.jpg,NO Stopping
01594.jpg,NO Stopping
01595.jpg,NO Stopping
01596.jpg,NO Stopping
01597.jpg,One way Traffic
01598.jpg,One way Traffic
01599.jpg,MotorCycle Prohibited
01600.jpg,MotorCycle Prohibited
01601.jpg,MotorCycle Prohibited
01602.jpg,MotorCycle Prohibited
01603.jpg,Cycle crossing
01604.jpg,Cycle crossing
01605.jpg,MotorCycle Prohibited
01606.jpg,MotorCycle Prohibited
01607.jpg,MotorCycle Prohibited
01608.jpg,MotorCycle Prohibited
01609.jpg,Park Forbidden
01610.jpg,Cycle crossing
01611.jpg,Cycle crossing
01612.jpg,Cycle crossing
01613.jpg,Cycle crossing
01614.jpg,Cycle crossing
01615.jpg,Cycle crossing
01616.jpg,Cycle crossing
01617.jpg,Cycle crossing
01618.jpg,Cycle crossing
01619.jpg,Cycle crossing
01620.jpg,Cycle crossing
01621.jpg,Cycle crossing
01622.jpg,Cycle crossing
01623.jpg,Cycle crossing
01624.jpg,Cycle crossing
01625.jpg,Cycle crossing
01626.jpg,Cycle crossing
01627.jpg,Cycle crossing
01628.jpg,Cycle crossing
01629.jpg,MotorCycle Prohibited
01630.jpg,Cycle crossing
01631.jpg,MotorCycle Prohibited
01632.jpg,Cycle crossing
01633.jpg,Cycle crossing
01634.jpg,Cycle crossing
01635.jpg,MotorCycle Prohibited
01636.jpg,MotorCycle Prohibited
01637.jpg,MotorCycle Prohibited
01638.jpg,MotorCycle Prohibited
01639.jpg,MotorCycle Prohibited
01640.jpg,MotorCycle Prohibited
01641.jpg,MotorCycle Prohibited
01642.jpg,Right Turn Prohibited
01643.jpg,Cycle crossing
01644.jpg,Cycle crossing
01645.jpg,Cycle crossing
01646.jpg,Cycle crossing
01647.jpg,Cycle crossing
01648.jpg,Cycle crossing
01649.jpg,Cycle crossing
01650.jpg,Cycle crossing
01651.jpg,Cycle crossing
01652.jpg,NO Stopping
01653.jpg,NO Stopping
01654.jpg,NO Stopping
01655.jpg,NO Stopping
01656.jpg,One way Traffic
01657.jpg,One way Traffic
01658.jpg,NO Stopping
01659.jpg,NO Stopping
01660.jpg,NO Stopping
01661.jpg,One way Traffic
01662.jpg,NO Stopping
01663.jpg,NO Stopping
01664.jpg,NO Stopping
01665.jpg,NO Stopping
01666.jpg,NO Stopping
01667.jpg,One way Traffic
01668.jpg,One way Traffic
01669.jpg,One way Traffic
01670.jpg,One way Traffic
01671.jpg,One way Traffic
01672.jpg,Right Turn Prohibited
01673.jpg,Right Turn Prohibited
01674.jpg,Right Turn Prohibited
01675.jpg,Right Turn Prohibited
01676.jpg,Danger
01677.jpg,Danger
01678.jpg,Danger
01679.jpg,Danger
01680.jpg,Danger
01681.jpg,Danger
01682.jpg,Danger
01683.jpg,Danger
01684.jpg,Danger
01685.jpg,Danger
01686.jpg,Danger
01687.jpg,NO Stopping
01688.jpg,NO Stopping
01689.jpg,One way Traffic
01690.jpg,One way Traffic
01691.jpg,One way Traffic
01692.jpg,One way Traffic
01693.jpg,Park Forbidden
01694.jpg,Park Forbidden
01695.jpg,Park Forbidden
01696.jpg,Park Forbidden
01697.jpg,Park Forbidden
01698.jpg,Park Forbidden
01699.jpg,Park Forbidden
01700.jpg,Pedestrain
01701.jpg,Pedestrain
01702.jpg,Pedestrain
01703.jpg,No Horn
01704.jpg,No Horn
01705.jpg,Park Forbidden
01706.jpg,Park Forbidden
01707.jpg,Park Forbidden
01708.jpg,Pedestrain
01709.jpg,Pedestrain
01710.jpg,Pedestrain
01711.jpg,Maximum Speed 40
01712.jpg,Maximum Speed 40
01713.jpg,One way Traffic
01714.jpg,One way Traffic
01715.jpg,Maximum Speed 40
01716.jpg,Maximum Speed 40
01717.jpg,Maximum Speed 40
01718.jpg,Danger
01719.jpg,Danger
01720.jpg,Compulsory Keep BothSide
01721.jpg,Maximum Speed 70
01722.jpg,Left Margin
01723.jpg,Danger
01724.jpg,Maximum Speed 70
01725.jpg,Maximum Speed 70
01726.jpg,Maximum Speed 70
01727.jpg,Maximum Speed 70
01728.jpg,Maximum Speed 70
01729.jpg,Compulsory Keep BothSide
01730.jpg,Left Margin
01731.jpg,Left Margin
01732.jpg,Left Margin
01733.jpg,Road Work
01734.jpg,Road Work
01735.jpg,Road Work
01736.jpg,Road Work
01737.jpg,Speed Camera
01738.jpg,Speed Camera
01739.jpg,Speed Camera
01740.jpg,Speed Camera
01741.jpg,Speed Camera
01742.jpg,Left Bend
01743.jpg,Left Bend
01744.jpg,Left Bend
01745.jpg,Left Bend
01746.jpg,Maximum Speed 70
01747.jpg,Left Bend
01748.jpg,Maximum Speed 70
01749.jpg,Speed Camera
01750.jpg,Speed Camera
01751.jpg,Maximum Speed 70
01752.jpg,Left Bend
01753.jpg,Maximum Speed 60
01754.jpg,Maximum Speed 60
01755.jpg,Maximum Speed 60
01756.jpg,Maximum Speed 40
01757.jpg,Maximum Speed 40
01758.jpg,Maximum Speed 40
01759.jpg,STOP
01760.jpg,STOP
01761.jpg,STOP
01762.jpg,STOP
01763.jpg,STOP
01764.jpg,Right Bend
01765.jpg,Danger
01766.jpg,Danger
01767.jpg,Compulsory Keep BothSide
01768.jpg,Compulsory Keep BothSide
01769.jpg,Right Turn Prohibited
01770.jpg,Right Turn Prohibited
01771.jpg,Right Turn Prohibited
01772.jpg,Right Turn Prohibited
01773.jpg,One way Traffic
01774.jpg,One way Traffic
01775.jpg,Hump
01776.jpg,Hump
01777.jpg,Hump
01778.jpg,One way Traffic
01779.jpg,One way Traffic
01780.jpg,One way Traffic
01781.jpg,Pedestrain
01782.jpg,Pedestrain
01783.jpg,One way Traffic
01784.jpg,One way Traffic
01785.jpg,Maximum Speed 80
01786.jpg,Maximum Speed 80
01787.jpg,Side Road Right
01788.jpg,Slow
01789.jpg,Slow
01790.jpg,Slow
01791.jpg,STOP
01792.jpg,STOP
01793.jpg,STOP
01794.jpg,NO Waiting
01795.jpg,NO Waiting
01796.jpg,STOP
01797.jpg,STOP
01798.jpg,STOP
01799.jpg,Slow
01800.jpg,Slow
01801.jpg,Slow
01802.jpg,Slow
01803.jpg,Slow
01804.jpg,Maximum Speed 80
01805.jpg,Maximum Speed 80
01806.jpg,Right Bend
01807.jpg,Right Bend
01808.jpg,Left Margin
01809.jpg,Left Margin
01810.jpg,Left Margin
01811.jpg,Left Margin
01812.jpg,Left Margin
01813.jpg,Left Margin
01814.jpg,Pedestrian crossing
01815.jpg,Pedestrian crossing
01816.jpg,Slow
01817.jpg,Slow
01818.jpg,Pedestrian crossing
01819.jpg,Pedestrian crossing
01820.jpg,Compulsory Keep BothSide
01821.jpg,Compulsory Keep BothSide
01822.jpg,One way Traffic
01823.jpg,One way Traffic
01824.jpg,One way Traffic
01825.jpg,Slow
01826.jpg,Slow
01827.jpg,Slow
01828.jpg,STOP
01829.jpg,STOP
01830.jpg,STOP
01831.jpg,STOP
01832.jpg,STOP
01833.jpg,Compulsory Keep BothSide
01834.jpg,Compulsory Keep BothSide
01835.jpg,Compulsory Keep BothSide
01836.jpg,Two Way Traffic
01837.jpg,Two Way Traffic
01838.jpg,Danger
01839.jpg,Danger
01840.jpg,School
01841.jpg,School
01842.jpg,Compulsory Keep BothSide
01843.jpg,Compulsory Keep BothSide
01844.jpg,Compulsory Keep BothSide
01845.jpg,Compulsory Keep BothSide
01846.jpg,STOP
01847.jpg,STOP
01848.jpg,STOP
01849.jpg,STOP
01850.jpg,STOP
01851.jpg,STOP
01852.jpg,Speed Camera
01853.jpg,Speed Camera
01854.jpg,Speed Camera
01855.jpg,Speed Camera
01856.jpg,Speed Camera
01857.jpg,Speed Camera
01858.jpg,Pedestrain
01859.jpg,Pedestrain
01860.jpg,Pedestrain
01861.jpg,Pedestrain
01862.jpg,NO Stopping
01863.jpg,NO Stopping
01864.jpg,NO Stopping
01865.jpg,NO Stopping
01866.jpg,NO Stopping
01867.jpg,NO Stopping
01868.jpg,NO Stopping
01869.jpg,NO Stopping
01870.jpg,NO Stopping
01871.jpg,NO Stopping
01872.jpg,Pedestrain
01873.jpg,Pedestrain
01874.jpg,Pedestrain
01875.jpg,One way Traffic
01876.jpg,One way Traffic
01877.jpg,NO Stopping
01878.jpg,NO Stopping
01879.jpg,NO Stopping
01880.jpg,NO Stopping
01881.jpg,Right Margin
01882.jpg,Right Margin
01883.jpg,Right Margin
01884.jpg,Right Margin
01885.jpg,Right Margin
01886.jpg,Right Margin
01887.jpg,Right Margin
01888.jpg,Right Margin
01889.jpg,Right Margin
01890.jpg,Right Margin
01891.jpg,Right Margin
01892.jpg,Right Margin
01893.jpg,Right Margin
01894.jpg,Maximum Speed 70
01895.jpg,Maximum Speed 70
01896.jpg,Speed Camera
01897.jpg,Speed Camera
01898.jpg,Maximum Speed 70
01899.jpg,Maximum Speed 70
01900.jpg,Left Bend
01901.jpg,Left Bend
01902.jpg,Left Bend
01903.jpg,Right Margin
01904.jpg,Right Margin
01905.jpg,Right Margin
01906.jpg,U-Turn Allowed
01907.jpg,U-Turn
01908.jpg,Maximum Speed 40
01909.jpg,Maximum Speed 40
01910.jpg,Maximum Speed 40
01911.jpg,Maximum Speed 40
01912.jpg,Left Margin
01913.jpg,Left Margin
01914.jpg,Left Margin
01915.jpg,Maximum Speed 60
01916.jpg,Maximum Speed 60
01917.jpg,Maximum Speed 60
01918.jpg,Maximum Speed 60
01919.jpg,One way Traffic
01920.jpg,School
01921.jpg,Maximum Speed 80
01922.jpg,Maximum Speed 90
01923.jpg,Maximum Speed 90
01924.jpg,Maximum Speed 90
01925.jpg,Maximum Speed 70
01926.jpg,Left Margin
